#  L TT            EE            BB            TE            PP            PT            PE           
 133 3.8210286e+03 1.1176119e+00 5.8516645e-03 -4.2395471e+01 8.3378178e-08 2.5690429e-04 -1.2491968e-06
 134 3.8557497e+03 1.1208699e+00 5.9445565e-03 -4.2782620e+01 8.2882759e-08 2.5446572e-04 -1.2522968e-06
 135 3.8904337e+03 1.1236290e+00 6.0383544e-03 -4.3152416e+01 8.2391316e-08 2.5207198e-04 -1.2534272e-06
 136 3.9250814e+03 1.1258967e+00 6.1330651e-03 -4.3504203e+01 8.1903795e-08 2.4972117e-04 -1.2527032e-06
 137 3.9596785e+03 1.1276660e+00 6.2286956e-03 -4.3837543e+01 8.1420171e-08 2.4741175e-04 -1.2502415e-06
 138 3.9942183e+03 1.1289445e+00 6.3252526e-03 -4.4152078e+01 8.0940409e-08 2.4514193e-04 -1.2461576e-06
 139 4.0286866e+03 1.1297252e+00 6.4227432e-03 -4.4447370e+01 8.0464512e-08 2.4291013e-04 -1.2405681e-06
 140 4.0630917e+03 1.1300082e+00 6.5211741e-03 -4.4722986e+01 7.9992427e-08 2.4071455e-04 -1.2335882e-06
 141 4.0974119e+03 1.1298088e+00 6.6205522e-03 -4.4978564e+01 7.9524111e-08 2.3855351e-04 -1.2253339e-06
 142 4.1316404e+03 1.1291123e+00 6.7208841e-03 -4.5213597e+01 7.9059594e-08 2.3642541e-04 -1.2159213e-06
 143 4.1657780e+03 1.1279265e+00 6.8221765e-03 -4.5427796e+01 7.8598797e-08 2.3432851e-04 -1.2054662e-06
 144 4.1998030e+03 1.1262591e+00 6.9244359e-03 -4.5620728e+01 7.8141703e-08 2.3226105e-04 -1.1940837e-06
 145 4.2337163e+03 1.1241029e+00 7.0276687e-03 -4.5791885e+01 7.7688290e-08 2.3022147e-04 -1.1818901e-06
 146 4.2674887e+03 1.1214730e+00 7.1318811e-03 -4.5941053e+01 7.7238549e-08 2.2820804e-04 -1.1690010e-06
 147 4.3011135e+03 1.1183773e+00 7.2370791e-03 -4.6067651e+01 7.6792421e-08 2.2621907e-04 -1.1555319e-06
